9, 500, 109, 18.12.2020, 60, 30.10.2020
10, 500, 109, 18.12.2020, 60, 30.10.2020
11, 500, 109, 18.12.2020, 60, 30.10.2020
12, 500, 109, 18.12.2020, 60, 30.10.2020
13, 25, 109, 18.12.2020, 95, 04.12.2020
14, 25, 109, 18.12.2020, 95, 04.12.2020
15, 25, 109, 18.12.2020, 95, 04.12.2020
16, 75, 109, 18.12.2020, 84, 23.11.2020
17, 75, 109, 18.12.2020, 84, 23.11.2020
18, 75, 109, 18.12.2020, 84, 23.11.2020
19, 75, 109, 18.12.2020, 84, 23.11.2020
20, 75, 109, 18.12.2020, 84, 23.11.2020
21, 75, 109, 18.12.2020, 84, 23.11.2020
22, 75, 109, 18.12.2020, 84, 23.11.2020
9, 500, 122, 31.12.2020, 73, 12.11.2020
11, 500, 122, 31.12.2020, 73, 12.11.2020
12, 500, 122, 31.12.2020, 73, 12.11.2020
13, 712, 122, 31.12.2020, 108, 17.12.2020
14, 513, 122, 31.12.2020, 108, 17.12.2020
15, 670, 122, 31.12.2020, 108, 17.12.2020
16, 530, 122, 31.12.2020, 98, 07.12.2020
17, 75, 122, 31.12.2020, 98, 07.12.2020
18, 260, 122, 31.12.2020, 98, 07.12.2020
19, 346, 122, 31.12.2020, 98, 07.12.2020
20, 160, 122, 31.12.2020, 98, 07.12.2020
21, 132, 122, 31.12.2020, 98, 07.12.2020
22, 217, 122, 31.12.2020, 98, 07.12.2020
9, 500, 130, 08.01.2021, 81, 20.11.2020
11, 500, 130, 08.01.2021, 81, 20.11.2020
12, 500, 130, 08.01.2021, 81, 20.11.2020
13, 700, 130, 08.01.2021, 114, 23.12.2020
14, 495, 130, 08.01.2021, 114, 23.12.2020
15, 640, 130, 08.01.2021, 114, 23.12.2020
16, 555, 130, 08.01.2021, 106, 15.12.2020
17, 90, 130, 08.01.2021, 106, 15.12.2020
18, 275, 130, 08.01.2021, 106, 15.12.2020
19, 345, 130, 08.01.2021, 106, 15.12.2020
20, 185, 130, 08.01.2021, 106, 15.12.2020
21, 145, 130, 08.01.2021, 106, 15.12.2020
22, 240, 130, 08.01.2021, 106, 15.12.2020
9, 500, 137, 15.01.2021, 88, 27.11.2020
10, 500, 137, 15.01.2021, 88, 27.11.2020
11, 658, 137, 15.01.2021, 88, 27.11.2020
12, 500, 137, 15.01.2021, 88, 27.11.2020
13, 700, 137, 15.01.2021, 121, 30.12.2020
14, 495, 137, 15.01.2021, 121, 30.12.2020
15, 640, 137, 15.01.2021, 121, 30.12.2020
16, 555, 137, 15.01.2021, 112, 21.12.2020
17, 90, 137, 15.01.2021, 112, 21.12.2020
18, 275, 137, 15.01.2021, 112, 21.12.2020
19, 345, 137, 15.01.2021, 112, 21.12.2020
20, 185, 137, 15.01.2021, 112, 21.12.2020
21, 145, 137, 15.01.2021, 112, 21.12.2020
22, 240, 137, 15.01.2021, 112, 21.12.2020
9, 500, 144, 22.01.2021, 95, 04.12.2020
11, 680, 144, 22.01.2021, 95, 04.12.2020
12, 500, 144, 22.01.2021, 95, 04.12.2020
13, 700, 144, 22.01.2021, 130, 08.01.2021
14, 495, 144, 22.01.2021, 130, 08.01.2021
15, 640, 144, 22.01.2021, 130, 08.01.2021
16, 555, 144, 22.01.2021, 119, 28.12.2020
17, 90, 144, 22.01.2021, 119, 28.12.2020
18, 275, 144, 22.01.2021, 119, 28.12.2020
19, 345, 144, 22.01.2021, 119, 28.12.2020
20, 185, 144, 22.01.2021, 119, 28.12.2020
21, 145, 144, 22.01.2021, 119, 28.12.2020
22, 240, 144, 22.01.2021, 119, 28.12.2020
9, 500, 151, 29.01.2021, 102, 11.12.2020
11, 793, 151, 29.01.2021, 102, 11.12.2020
12, 500, 151, 29.01.2021, 102, 11.12.2020
13, 815, 151, 29.01.2021, 137, 15.01.2021
14, 756, 151, 29.01.2021, 137, 15.01.2021
15, 962, 151, 29.01.2021, 137, 15.01.2021
16, 591, 151, 29.01.2021, 127, 05.01.2021
17, 147, 151, 29.01.2021, 127, 05.01.2021
18, 407, 151, 29.01.2021, 127, 05.01.2021
19, 533, 151, 29.01.2021, 127, 05.01.2021
20, 278, 151, 29.01.2021, 127, 05.01.2021
21, 224, 151, 29.01.2021, 127, 05.01.2021
22, 353, 151, 29.01.2021, 127, 05.01.2021
9, 615, 158, 05.02.2021, 108, 17.12.2020
10, 500, 158, 05.02.2021, 108, 17.12.2020
11, 1774, 158, 05.02.2021, 108, 17.12.2020
12, 730, 158, 05.02.2021, 108, 17.12.2020
13, 1803, 158, 05.02.2021, 144, 22.01.2021
14, 761, 158, 05.02.2021, 144, 22.01.2021
15, 993, 158, 05.02.2021, 144, 22.01.2021
16, 1579, 158, 05.02.2021, 135, 13.01.2021
17, 138, 158, 05.02.2021, 135, 13.01.2021
18, 428, 158, 05.02.2021, 135, 13.01.2021
19, 536, 158, 05.02.2021, 135, 13.01.2021
20, 282, 158, 05.02.2021, 135, 13.01.2021
21, 224, 158, 05.02.2021, 135, 13.01.2021
22, 370, 158, 05.02.2021, 135, 13.01.2021
9, 740, 165, 12.02.2021, 115, 24.12.2020
11, 770, 165, 12.02.2021, 115, 24.12.2020
12, 775, 165, 12.02.2021, 115, 24.12.2020
13, 800, 165, 12.02.2021, 151, 29.01.2021
14, 740, 165, 12.02.2021, 151, 29.01.2021
15, 965, 165, 12.02.2021, 151, 29.01.2021
16, 580, 165, 12.02.2021, 141, 19.01.2021
17, 135, 165, 12.02.2021, 141, 19.01.2021
18, 415, 165, 12.02.2021, 141, 19.01.2021
19, 520, 165, 12.02.2021, 141, 19.01.2021
20, 275, 165, 12.02.2021, 141, 19.01.2021
21, 220, 165, 12.02.2021, 141, 19.01.2021
22, 360, 165, 12.02.2021, 141, 19.01.2021
9, 740, 172, 19.02.2021, 122, 31.12.2020
10, 500, 172, 19.02.2021, 122, 31.12.2020
11, 770, 172, 19.02.2021, 122, 31.12.2020
